feature,importance,method,model
daily_total_kJ_m2,9.047083990656668,native_feature_importance,CatBoost
daily_total_roll_std_180d,6.949416633927105,native_feature_importance,CatBoost
daily_radiation_Wh_m2,5.050043856946903,native_feature_importance,CatBoost
daily_total_roll_max_7d,4.998959827013704,native_feature_importance,CatBoost
current_clear_sky_index_daily,4.330920483403762,native_feature_importance,CatBoost
wind_dir_cos_mean,4.11169600452355,native_feature_importance,CatBoost
sim_pv_daily_kWh_per_kWp,3.8408379735800646,native_feature_importance,CatBoost
current_clear_sky_daily_proxy,3.7174653742649086,native_feature_importance,CatBoost
daily_total_roll_mean_14d,3.085140262173388,native_feature_importance,CatBoost
target_noon_solar_elevation_deg,2.154955731131347,native_feature_importance,CatBoost
target_month_cos,1.669919797220173,native_feature_importance,CatBoost
current_noon_solar_elevation_deg,1.650546756023132,native_feature_importance,CatBoost
pressure_mean_kPa,1.6198585492844466,native_feature_importance,CatBoost
daily_total_lag_364d,1.264238680098023,native_feature_importance,CatBoost
wind_dir_sin_mean,1.1621872041016594,native_feature_importance,CatBoost
daily_total_roll_max_14d,1.0816253205518447,native_feature_importance,CatBoost
daily_total_lag_6d,1.0113643193497217,native_feature_importance,CatBoost
wind_dir_cos_mean_lag_1d,0.989468284346048,native_feature_importance,CatBoost
daily_total_roll_max_3d,0.9792805677607985,native_feature_importance,CatBoost
wind_speed_mean_m_s_lag_30d,0.9765081211386327,native_feature_importance,CatBoost
daily_total_roll_mean_7d,0.8633675667249078,native_feature_importance,CatBoost
daily_total_lag_1d,0.8515154117828906,native_feature_importance,CatBoost
wind_dir_sin_mean_lag_1d,0.8241897967188765,native_feature_importance,CatBoost
target_clear_sky_daily_proxy,0.8049024305025543,native_feature_importance,CatBoost
wind_dir_cos_mean_lag_2d,0.7952065702907575,native_feature_importance,CatBoost
humidity_mean_pct_lag_30d,0.734720688983338,native_feature_importance,CatBoost
pressure_mean_kPa_lag_1d,0.7038334662572974,native_feature_importance,CatBoost
daily_total_roll_std_3d,0.6911493510817905,native_feature_importance,CatBoost
wind_dir_sin_mean_lag_2d,0.6860730113826593,native_feature_importance,CatBoost
target_doy_sin,0.6852449281220684,native_feature_importance,CatBoost
wind_speed_mean_m_s,0.6814954307059605,native_feature_importance,CatBoost
daily_total_lag_60d,0.6736987074116045,native_feature_importance,CatBoost
wind_speed_mean_m_s_lag_1d,0.6713859643446612,native_feature_importance,CatBoost
daily_total_roll_std_7d,0.6568614399937651,native_feature_importance,CatBoost
sim_pv_daily_lag_7d,0.647359215542068,native_feature_importance,CatBoost
temp_min_C_lag_30d,0.5765627551805744,native_feature_importance,CatBoost
wind_dir_sin_mean_lag_7d,0.5721532921938371,native_feature_importance,CatBoost
daily_total_lag_90d,0.5496375373857558,native_feature_importance,CatBoost
daily_total_roll_std_30d,0.5492868846513681,native_feature_importance,CatBoost
wind_speed_mean_m_s_roll_mean_7d,0.5464695632657739,native_feature_importance,CatBoost
wind_dir_cos_mean_lag_30d,0.5279318318902398,native_feature_importance,CatBoost
wind_dir_cos_mean_lag_7d,0.5242716172658127,native_feature_importance,CatBoost
wind_speed_mean_m_s_lag_7d,0.5226531492780974,native_feature_importance,CatBoost
temp_max_C_lag_30d,0.5144651688376121,native_feature_importance,CatBoost
wind_dir_sin_mean_roll_mean_30d,0.5035479333052625,native_feature_importance,CatBoost
pressure_mean_kPa_roll_mean_30d,0.4994659803629618,native_feature_importance,CatBoost
daily_total_lag_365d,0.4973627024186462,native_feature_importance,CatBoost
humidity_mean_pct_lag_2d,0.4753071239729126,native_feature_importance,CatBoost
temp_mean_C_lag_30d,0.46363144013892893,native_feature_importance,CatBoost
daily_total_lag_3d,0.45108237397198353,native_feature_importance,CatBoost
wind_dir_cos_mean_roll_mean_90d,0.4496155047864586,native_feature_importance,CatBoost
humidity_mean_pct_lag_1d,0.4438378324944237,native_feature_importance,CatBoost
daily_total_roll_min_60d,0.4400618698392797,native_feature_importance,CatBoost
wind_dir_sin_mean_roll_mean_7d,0.4378917503371975,native_feature_importance,CatBoost
temp_min_C_lag_2d,0.43459853193359155,native_feature_importance,CatBoost
temp_max_C,0.433332095597722,native_feature_importance,CatBoost
pressure_mean_kPa_lag_7d,0.42907803390424076,native_feature_importance,CatBoost
sim_cell_temperature_daily_C,0.42026156513744095,native_feature_importance,CatBoost
daily_total_roll_max_90d,0.4056960218652472,native_feature_importance,CatBoost
daily_total_roll_min_7d,0.4043913951117703,native_feature_importance,CatBoost
wind_dir_cos_mean_roll_mean_7d,0.40280262307719517,native_feature_importance,CatBoost
sim_pv_daily_lag_1d,0.3980883483055712,native_feature_importance,CatBoost
daily_total_roll_max_180d,0.39009756041022575,native_feature_importance,CatBoost
sim_pv_daily_lag_2d,0.3843259589325644,native_feature_importance,CatBoost
daily_total_roll_mean_3d,0.3830066086186665,native_feature_importance,CatBoost
pressure_mean_kPa_lag_2d,0.375447658928944,native_feature_importance,CatBoost
daily_total_lag_14d,0.3668717866312286,native_feature_importance,CatBoost
pressure_mean_kPa_roll_mean_7d,0.3586728541357877,native_feature_importance,CatBoost
wind_dir_sin_mean_roll_mean_90d,0.35796918262480326,native_feature_importance,CatBoost
daily_total_roll_std_14d,0.3537190320743695,native_feature_importance,CatBoost
daily_total_roll_mean_90d,0.3527857381978224,native_feature_importance,CatBoost
pressure_mean_kPa_lag_30d,0.35037107453764416,native_feature_importance,CatBoost
humidity_mean_pct,0.34989725157860985,native_feature_importance,CatBoost
daily_total_roll_std_90d,0.3492122401955687,native_feature_importance,CatBoost
wind_speed_mean_m_s_lag_2d,0.3490610861949068,native_feature_importance,CatBoost
daily_total_lag_180d,0.3481328840039359,native_feature_importance,CatBoost
daily_total_roll_mean_180d,0.3462704660726094,native_feature_importance,CatBoost
humidity_mean_pct_lag_7d,0.34619180913963,native_feature_importance,CatBoost
daily_total_roll_min_3d,0.3431063263635459,native_feature_importance,CatBoost
temp_mean_C_lag_7d,0.3404910060889716,native_feature_importance,CatBoost
daily_total_roll_max_30d,0.3323413146517432,native_feature_importance,CatBoost
target_doy_cos,0.32956157074432285,native_feature_importance,CatBoost
temp_max_C_lag_7d,0.32791424570716865,native_feature_importance,CatBoost
temp_mean_C_lag_1d,0.32689820731809605,native_feature_importance,CatBoost
daily_total_roll_min_14d,0.3249199055908003,native_feature_importance,CatBoost
daily_total_roll_min_180d,0.3211472383017618,native_feature_importance,CatBoost
daily_total_lag_2d,0.3148466621632515,native_feature_importance,CatBoost
temp_max_C_lag_1d,0.3101181319570687,native_feature_importance,CatBoost
humidity_mean_pct_roll_mean_7d,0.2920662677909969,native_feature_importance,CatBoost
temp_max_C_roll_mean_90d,0.28157972451294105,native_feature_importance,CatBoost
wind_speed_mean_m_s_roll_mean_30d,0.27764251941304147,native_feature_importance,CatBoost
wind_dir_cos_mean_roll_mean_30d,0.2761281113508273,native_feature_importance,CatBoost
daily_total_roll_std_60d,0.25965668223223015,native_feature_importance,CatBoost
daily_total_lag_21d,0.25782990620998253,native_feature_importance,CatBoost
temp_min_C,0.2555199243437715,native_feature_importance,CatBoost
daily_total_lag_7d,0.2517961552516371,native_feature_importance,CatBoost
daily_total_roll_mean_30d,0.2465292646091254,native_feature_importance,CatBoost
daily_total_roll_std_365d,0.2335146424678904,native_feature_importance,CatBoost
temp_min_C_roll_mean_90d,0.23135604389025433,native_feature_importance,CatBoost
wind_speed_mean_m_s_roll_mean_90d,0.22962052505779357,native_feature_importance,CatBoost
humidity_mean_pct_roll_mean_90d,0.2229646335175744,native_feature_importance,CatBoost
daily_total_roll_min_30d,0.22089919025996788,native_feature_importance,CatBoost
temp_max_C_roll_mean_30d,0.220583797042215,native_feature_importance,CatBoost
sim_pv_daily_lag_30d,0.20714922567714028,native_feature_importance,CatBoost
temp_min_C_lag_7d,0.20494202020551383,native_feature_importance,CatBoost
temp_max_C_roll_mean_7d,0.20081926933730881,native_feature_importance,CatBoost
temp_mean_C_roll_mean_90d,0.19829133269172616,native_feature_importance,CatBoost
daily_total_roll_min_90d,0.1970598909198036,native_feature_importance,CatBoost
pressure_mean_kPa_roll_mean_90d,0.19568460060743625,native_feature_importance,CatBoost
humidity_mean_pct_roll_mean_30d,0.1851368571775206,native_feature_importance,CatBoost
temp_min_C_roll_mean_7d,0.18409900281354966,native_feature_importance,CatBoost
wind_dir_sin_mean_lag_30d,0.18388740938104742,native_feature_importance,CatBoost
daily_total_roll_mean_365d,0.1834442343181248,native_feature_importance,CatBoost
temp_min_C_roll_mean_30d,0.18334782010472364,native_feature_importance,CatBoost
temp_mean_C,0.17877114261660926,native_feature_importance,CatBoost
temp_mean_C_lag_2d,0.17445035907287867,native_feature_importance,CatBoost
daily_total_roll_min_365d,0.17327216804795917,native_feature_importance,CatBoost
daily_total_roll_max_60d,0.17175303156565036,native_feature_importance,CatBoost
daily_total_roll_mean_60d,0.16258328526226004,native_feature_importance,CatBoost
temp_mean_C_roll_mean_30d,0.15653313228853,native_feature_importance,CatBoost
target_month_sin,0.12802793481099067,native_feature_importance,CatBoost
daily_total_lag_30d,0.10834071446043558,native_feature_importance,CatBoost
temp_max_C_lag_2d,0.09654626454220325,native_feature_importance,CatBoost
temp_mean_C_roll_mean_7d,0.07936201549498419,native_feature_importance,CatBoost
daily_total_roll_max_365d,0.0627942598277552,native_feature_importance,CatBoost
temp_min_C_lag_1d,0.05663219581059354,native_feature_importance,CatBoost
