model,model_type,n_features,train_seconds,val_MAE,val_RMSE,val_R2,val_MaxError,val_NRMSE,val_skill_vs_persistence,val_skill_vs_seasonal7,val_skill_vs_seasonal365,test_MAE,test_RMSE,test_R2,test_MaxError,test_NRMSE,test_skill_vs_persistence,test_skill_vs_seasonal7,test_skill_vs_seasonal365,params,experiment,task
CatBoost,main_model,126,6.209910869598389,1709.6777528895161,2324.939979436147,0.8436197329430664,11387.730274505393,0.08668621629476547,0.18041571006423773,0.3940087716213967,0.39353398282063834,1921.095343363839,2701.754582059258,0.8054749352628049,16383.600995311936,0.09187567979097366,0.1715687224980037,0.34094720918400956,0.36804165824053425,,05_daily_total_20y_2004_2023,next_day_daily_total
LinearRegression,main_model,126,0.04376649856567383,1697.7786865234375,2352.1905747621727,0.839932382106781,13427.2431640625,0.08770227432250977,0.17080937182834743,0.3869059552555001,0.3864256014605528,1966.9417724609375,2734.181321712223,0.8007774949073792,16369.14453125,0.09297838807106018,0.1616258040944175,0.33303718900406365,0.3604568284577586,,05_daily_total_20y_2004_2023,next_day_daily_total
Ridge,main_model,126,0.012747764587402344,1700.4193115234375,2355.68482611745,0.8394564390182495,13233.6494140625,0.08783255517482758,0.16957758367845865,0.3859951852185197,0.3855141178432543,1942.7911376953125,2721.077911416724,0.8026824593544006,16032.3203125,0.09253278374671936,0.1656436653031359,0.3362335707856663,0.3635218031585421,,05_daily_total_20y_2004_2023,next_day_daily_total
XGBoost,main_model,126,2.3733952045440674,1819.67236328125,2408.2991923762297,0.8322048783302307,12869.0517578125,0.08979429304599762,0.15103004765945138,0.37228134971242965,0.37178953766759015,2063.5986328125,2841.7851783693995,0.7847881317138672,16568.724609375,0.0966375470161438,0.12863154139321287,0.30678883080624986,0.3352875716823477,,05_daily_total_20y_2004_2023,next_day_daily_total
HGBR_tuned_2,hgb_tuning,126,2.772407293319702,1794.0653435501285,2409.845728063281,0.831989299971226,12836.10974119361,0.08985196053981781,0.15048486526156446,0.37187824809732695,0.3713861202259152,2035.0704292868625,2836.943048598891,0.7855208844554447,16829.878288109107,0.09647288918495178,0.13011626979091784,0.3079699962459008,0.3364201779970273,"{""max_iter"": 700, ""learning_rate"": 0.04, ""max_leaf_nodes"": 31, ""l2_regularization"": 0.1}",05_daily_total_20y_2004_2023,next_day_daily_total
HistGradientBoosting,main_model,126,5.0516197681427,1794.0653435501285,2409.845728063281,0.831989299971226,12836.10974119361,0.08985196053981781,0.15048486526156446,0.37187824809732695,0.3713861202259152,2035.0704292868625,2836.943048598891,0.7855208844554447,16829.878288109107,0.09647288918495178,0.13011626979091784,0.3079699962459008,0.3364201779970273,,05_daily_total_20y_2004_2023,next_day_daily_total
HGBR_tuned_4,hgb_tuning,126,6.87414026260376,1826.6838687567547,2424.5860103760156,0.8299276748713854,12141.801774308555,0.0904015526175499,0.1452886434581675,0.36803622126465674,0.36754108319899315,2045.3174450868955,2855.377699880075,0.7827244279728695,16948.18793976887,0.09709977358579636,0.12446370541198193,0.30347313762844497,0.3321081906196647,"{""max_iter"": 900, ""learning_rate"": 0.03, ""max_leaf_nodes"": 63, ""l2_regularization"": 0.1}",05_daily_total_20y_2004_2023,next_day_daily_total
HGBR_tuned_3,hgb_tuning,126,3.4273853302001953,1804.9445680971749,2425.9919313485952,0.8297303813355729,13004.35212750618,0.09045397490262985,0.14479303034462088,0.36766977061013995,0.3671743454336096,2016.4930947062328,2816.4152191070566,0.7886135525611174,17030.51705751573,0.0957748219370842,0.13641065941578967,0.31297745451240133,0.34122177366072104,"{""max_iter"": 900, ""learning_rate"": 0.03, ""max_leaf_nodes"": 31, ""l2_regularization"": 0.1}",05_daily_total_20y_2004_2023,next_day_daily_total
HGBR_tuned_5,hgb_tuning,126,8.90596318244934,1827.9328839719835,2432.6052984078556,0.828800790175302,12066.820043821692,0.09070055931806564,0.14246169629157446,0.3659460089374056,0.36544923320875655,2035.9436159994457,2830.0602149136676,0.7865603366330487,16748.193662289566,0.09623883664608002,0.1322267333913303,0.3096489610116463,0.3380301185116852,"{""max_iter"": 1200, ""learning_rate"": 0.02, ""max_leaf_nodes"": 63, ""l2_regularization"": 0.3}",05_daily_total_20y_2004_2023,next_day_daily_total
RandomForest,main_model,126,14.837305545806885,1823.38647306595,2438.0146086460277,0.8280385627186,13674.922750710855,0.09090224653482437,0.14055481450976193,0.36453608240815993,0.36403820201446857,1972.5971177365286,2729.377527563509,0.8014769229370995,16419.45934713491,0.09281501919031143,0.16309877775009374,0.3342090030397421,0.36158046781587583,,05_daily_total_20y_2004_2023,next_day_daily_total
HGBR_tuned_1,hgb_tuning,126,2.0131239891052246,1797.651400759481,2440.0937199643854,0.8277451441174273,13126.60440562484,0.09097976982593536,0.13982188936389772,0.3639941659574596,0.3634958609769925,2023.516164746007,2833.2963628823295,0.7860719249400893,17344.211136641992,0.09634888172149658,0.13123444259864814,0.3088595509133336,0.337273162007366,"{""max_iter"": 500, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31, ""l2_regularization"": 0.0}",05_daily_total_20y_2004_2023,next_day_daily_total
MLP,main_model,126,12.839784145355225,1872.61767578125,2461.771313505785,0.8246709704399109,12117.0283203125,0.09178802371025085,0.13218013720371813,0.35834394201420283,0.3578412101329418,2099.632080078125,2916.85018470267,0.773268461227417,16719.787109375,0.09919020533561707,0.10561457326986512,0.2884778405168007,0.31772936812028296,,05_daily_total_20y_2004_2023,next_day_daily_total
Persistence,baseline,0,0.0,1847.720703125,2836.730776792186,0.7671937346458435,15000.8759765625,0.10576851665973663,0.0,0.26061146386041634,0.2600321594415925,2061.24560546875,3261.289928847173,0.7165590524673462,17191.583984375,0.11090320348739624,0.0,0.20445689496024333,0.23716262420096412,,05_daily_total_20y_2004_2023,next_day_daily_total
SVR,main_model,126,1.3715674877166748,2609.642769304412,3328.9378989681836,0.6793953284520099,13697.422733570347,0.12412064522504807,-0.1735121028061013,0.13231860416411212,0.1316387834174133,2739.740907606666,3572.9238539433263,0.6598023600921277,15047.685468756965,0.12150060385465622,-0.09555541883585672,0.12843844035619134,0.16426937925284135,,05_daily_total_20y_2004_2023,next_day_daily_total
SeasonalPersistence365d,baseline,0,0.0,2641.271240234375,3833.5865713454286,0.5748237371444702,17097.443359375,0.14293664693832397,-0.35141008188323775,0.0007828778320780883,0.0,2966.329833984375,4275.209936365699,0.512921929359436,19812.8515625,0.14538249373435974,-0.31089539097707086,-0.04287378972020495,0.0,,05_daily_total_20y_2004_2023,next_day_daily_total
SeasonalPersistence7d,baseline,0,0.0,2699.826171875,3836.5901527267674,0.5741572380065918,18756.97265625,0.14304862916469574,-0.35246889980346885,0.0,-0.0007834912099780045,2868.27099609375,4099.450938845347,0.552147388458252,17765.13671875,0.13940565288066864,-0.2570029124317854,0.0,0.04111119690879139,,05_daily_total_20y_2004_2023,next_day_daily_total
